2010-06-05 23:59:59.702224
2010-06-08 16:48:54.358467
2010-06-08 16:51:05.975744
2010-06-08 16:51:41.604924
2010-06-08 16:52:22.584913
2010-06-08 16:52:45.104076
2010-06-08 16:53:24.171638
2010-06-08 17:16:19.958787
2010-06-29 15:53:57.158485
2010-06-29 23:05:51.173141
First: 2010-06-30 01:08:41.452590
Second: 2010-06-30 01:09:31.552898
First: 2010-06-30 01:09:31.512547
Second: 2010-06-30 01:54:48.287974
First: 2010-06-30 01:54:48.245615
Second: 2010-06-30 02:05:41.632632
First: 2010-06-30 02:05:41.592653
Second: 2010-06-30 02:05:49.689523
First: 2010-06-30 02:05:49.648624
Second: 2010-06-30 18:12:24.252816
First: 2010-06-30 18:12:24.213327
Second: 2010-06-30 18:25:47.708523
First: 2010-06-30 18:25:47.668782
Second: 2010-06-30 18:25:55.198812
First: 2010-06-30 18:25:55.156597
Second: 2010-06-30 18:26:35.898987
First: 2010-06-30 18:26:35.859528
Second: 2010-06-30 18:30:06.961828
First: 2010-06-30 18:30:06.913870
Second: 2010-06-30 18:35:25.002150
First: 2010-06-30 18:35:24.962407
Second: 2010-06-30 18:43:50.405495
First: 2010-06-30 18:43:50.367284
Second: 2010-06-30 18:46:26.731077
First: 2010-06-30 18:46:26.692219
Second: 2010-06-30 18:52:17.755326
First: 2010-06-30 18:52:17.715398
Second: 2010-06-30 18:57:27.943266
First: 2010-06-30 18:57:27.904639
Second: 2010-06-30 19:13:17.295965
First: 2010-06-30 19:13:17.257385
Second: 2010-06-30 21:49:46.024737
First: 2010-06-30 21:49:45.984623
Second: 2010-06-30 21:57:39.196588
First: 2010-06-30 21:57:39.156566
Second: 2010-06-30 22:02:22.086465
First: 2010-06-30 22:02:22.047305
Second: 2010-06-30 22:10:48.255138
First: 2010-06-30 22:10:48.215171
Second: 2010-06-30 22:12:38.022449
First: 2010-06-30 22:12:37.983678
Second: 2010-06-30 22:13:48.167594
First: 2010-06-30 22:13:48.128803
Second: 2010-06-30 22:17:30.011673
First: 2010-06-30 22:17:29.972618
Second: 2010-06-30 22:18:20.725600
First: 2010-06-30 22:18:20.686806
Second: 2010-06-30 22:19:00.369070
First: 2010-06-30 22:19:00.330288
Second: 2010-06-30 22:21:17.082727
First: 2010-06-30 22:21:17.043545
Second: 2010-06-30 22:31:49.409472
First: 2010-06-30 22:31:49.370012
Second: 2010-06-30 22:34:28.798269
First: 2010-06-30 22:34:28.759479
Second: 2010-06-30 22:37:05.485318
First: 2010-06-30 22:37:05.446719
Second: 2010-06-30 22:37:53.509716
First: 2010-06-30 22:37:53.470326
Second: 2010-06-30 22:38:13.192037
First: 2010-06-30 22:38:13.152439
Second: 2010-06-30 22:41:22.073157
First: 2010-06-30 22:41:22.033342
Second: 2010-06-30 23:11:35.293433
First: 2010-06-30 23:11:35.254179
Second: 2010-06-30 23:15:24.629096
First: 2010-06-30 23:15:24.590476
Second: 2010-06-30 23:17:38.826912
First: 2010-06-30 23:17:38.787590
Second: 2010-06-30 23:20:18.777552
First: 2010-06-30 23:20:18.738291
Second: 2010-07-01 17:01:16.775534
First: 2010-07-01 17:01:16.736513
